#File S7: MergeMap consensus genetic map for Pinus taeda and Pinus elliottii with genomic sequence alignments and predicted genes functions based on transcript alignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Legend: MergeMarkerID - identifier of marker used in input maps to allow consensus map merging, GeneSeqID - identifier used in alignment analysis of a marker's sequence (see File S5), LG - linkage group, LG_pos_cM - centiMorgan position of the locus in the linkage group, Pos_lCI - cM position of the lower bound of locus 95% confidence interval, Pos_uCI - cM position of the upper bound of locus 95% CI, Delta_CIbounds - cM difference between upper and lower 95% CI, MarkerID - identifier for the specific marker allele mapped in a contributing input map, Marker_type - type of allele segregating for the locus (SNP - single nucleotide polymorphism; RFLP - restriction fragment length polymorphism; PAV - presence-absence variant; SSR - simple sequence repeat; estSSR - SSR from an expressed sequence tag; ESTP - expressed sequence tag polymorphism), Seg_qtl-base1 - the present or absent in the qtl-base1 map, Seg_qtl-base2 - present or absent in the qtl-base2 map, Seg_BC1 - present or absent in the BC1 map, Seg_10-5 - present (1) or absent (0) in the 10-5 map, Aligned_scaff_ID - scaffold or contig identifier of Pinus taeda RefSeq assembly v1.01, Aligned_genome_coord - start position..stop position for the best alignment  of the scaffold_ID with the marker GeneSeqID, Genome_pct_aligned - percent nucleotide sequence aligned length between the marker and P. taeda genome sequence, Genome_pct_ID - percent nucleotide sequence identity between the marker and aligned P. taeda genome sequence, Aligned_transcript(Accession_Pending) - predicted full-length Pinus taeda trascript ID - not yet assigned pending publication by Mockaitis et al., ESTvTr_pctID - percent nucleotide sequence identity between the EST marker and transcript, ESTvTr_alignlen - nucleotide length of alignment between the EST marker and transcript, ESTvTr_evalue - E-value of alignment between the EST marker and transcript, ESTvTr_bitscore - Bitscore of alignment between the EST marker and transcript, Aligned_CDD -  NCBI Conserved Domain Database accessionID assigned to the transcript, CDD_desc - description of the protein domain from the NCBI Conserved domain database, Tr_CDD_pctID - percent sequence identity between the transcript and the domain from the NCBI CDD, Tr_CDD_alignlen - length of alignment between the transcript and the domain  , Tr_CDD_evalue - E-value of alignment between the transcript and the domain, Tr_CDD_bitscore - Bitscore of alignment between the transcript and the domain, Aligned_AGI_prot - TAIR accession ID of the Arabidosis AGI map gene model with the highest amino acid sequence identity with the assigned translated P. taeda transcript, Prot_desc - description of the protein function of the TAIR gene model, Tr_AGI_pctID - percent amino acid sequence identity between the Arabidopsis and P. taeda proteins, Tr_AGI_alignlen - length of alignment between Arabidopsis and P. taeda transcripts, Tr_AGI_evalue - E-value of alignment between Arabidopsis and P.taeda transcripts, Tr_AGI_bitscore - Bitscore of alignment between Arabidopsis and P.taeda transcripts, MarkerAcc - NCBI/GenBank accession number for the marker sequence or for the best blastn match to the marker sequence, NP - the gene is reported on the 10-5 map3 of Neves et al. 2014 but was not positioned on our consensus map, NA - information not available."

MergeMarkerID,GeneSeqID,LG,LG_pos_cM,Pos_lCI,Pos_uCI,Delta_CIbounds,MarkerID,Marker_type,Seg_qtl-base1,Seg_qtl-base2,Seg_BC1,Seg_10-5,Aligned_scaff_ID,Aligned_genome_coord,Genome_pct_aligned,Genome_pct_ID,Aligned_transcript(Accession_Pending),ESTvTr_pctID,ESTvTr_alignlen,ESTvTr_evalue,ESTvTr_bitscore,Aligned_CDD,CDD_desc,Tr_CDD_pID,Tr_CDD_alignlen,Tr_CDD_evalue,Tr_CDD_bitscore,Aligned_AGI_prot,Prot_desc,Tr_AGI_pctID,Tr_AGI_alignlen,Tr_AGI_evalue,Tr_AGI_bitscore,MarkerAcc
UMN_822,UMN_822,1,11.08,9.53,12.64,3.11,UMN_822_01_99,SNP,0,1,0,0,scaffold900889,56984--56441,99.1,99.3,AP,98.72,547,0,957,CDD|215754,pfam00153; Mito_carr; Mitochondrial carrier protein; len=96,30.85,94,2.00E-20,84.2,AT1G72820.1,Mitochondrial substrate carrier family protein,65.79,342,1.00E-90,278,gb|BG317996.1
2_5829,2_5829,1,11.16,9.61,12.72,3.11,2_5829_01_167,SNP,0,1,0,0,scaffold623442,169255--168383,98.4,100,AP,98.98,881,0,1552,CDD|218113,pfam04499; SAPS; SIT4 phosphatase-associated protein; len=380,26.58,395,1.00E-69,235,AT1G07990.1,SIT4 phosphatase-associated family protein,54.17,672,0,612,gb|CO362579.1
UMN_4478,UMN_4478,1,11.25,9.7,12.81,3.11,UMN_4478_02_28,SNP,0,1,0,0,tscaffold1060,597046--596417,100,99.4,AP,100,629,0,1135,CDD|224117,COG1196; Smc; Chromosome segregation ATPases; len=1163,23.85,369,4.00E-12,69.7,AT5G66030.1,Golgi-localized GRIP domain-containing protein,46.11,785,2.00E-47,182,gb|BG276030.1
2_5895,2_5895,1,11.54,9.99,13.1,3.11,2_5895_02_693,SNP,0,1,0,0,scaffold87591,41843--40994,100,98.1,AP,99.37,636,0,1130,CDD|215843,pfam00295; Glyco_hydro_28; Glycosyl hydrolases family 28; len=325,35.12,168,4.00E-41,147,AT1G80170.1,Pectin lyase-like superfamily protein,56.93,202,3.00E-57,194,gb|CO198859.1
0_2615,0_2615,1,11.55,10,13.11,3.11,0_2615_02_190,SNP,0,1,0,0,scaffold889382.1,27752--26666,58.2,100,AP,100,760,0,1371,CDD|119407,cd02696; N-acetylmuramoyl-L-alanine amidase or MurNAc-LAA also known; len=172,37.93,58,0.001,39.1,NA,NA,NA,NA,NA,NA,gb|CX714595.1
0_2689,0_2689,1,11.57,10.02,13.13,3.11,0_2689_01_305,SNP,0,1,0,0,tscaffold6823,262176--261480,100,100,AP,100,697,0,1258,CDD|107361,cd06366; PBP1_GABAb_receptor; Ligand-binding domain of GABAb receptors; len=350,36.49,285,9.00E-75,248,AT4G35290.1,Glutamate receptor 2,51.22,777,0,568,gb|CO198203.1
PtIFG_2899_4,PtIFG_2899,1,11.59,10.04,13.15,3.11,rflpPita_IFG_2899_4,RFLP,0,1,0,0,scaffold793463,88582--88685,38.1,94.2,AP,99.43,175,1.00E-80,307,CDD|227410,COG5078; Ubiquitin-protein ligase; len=153,58.78,148,1.00E-77,230,AT1G64230.2,Ubiquitin-conjugating enzyme 28,92.57,148,4.00E-79,234,gb|H75245
0_14875,0_14875,1,12.14,10.6,13.69,3.09,0_14875_01_63,SNP,0,1,0,1,scaffold441200.1,19286--20273,99.6,99.5,AP,99.87,769,0,1382,CDD|227355,COG5022; Myosin heavy chain; len=1463,19.61,153,1.00E-06,52.8,AT4G21820.1,Binding/calmodulin binding protein,30.71,1107,4.00E-131,444,gb|DR060047.1
0_17009,0_17009,1,13.42,12.33,14.5,2.17,0_17009_02_198,SNP,0,1,1,0,scaffold149985.3,35713--34997,99.6,99.9,AP,99.86,718,0,1287,CDD|202095,pfam02026; RyR domain; len=95,42.11,57,0.029,33.7,AT1G12380.1,Uncharacterized protein,57.81,775,0,867,gb|DR098955.1
0_18789,0_18789,1,14.05,12.92,15.17,2.25,0_18789_01_316,SNP,0,1,1,0,scaffold69232,16640--15809,100,100,AP,99.64,829,0,1485,CDD|222749,pfam14432; DYW_deaminase; DYW family of nucleic acid deaminases; len=116,43.94,132,2.00E-32,117,AT5G16860.1,Tetratricopeptide repeat (TPR)-like superfamily protein,49.54,329,1.00E-117,363,gb|DR024913.1
CL4776Contig1,CL4776Contig1,1,14.48,13.32,15.64,2.32,CL4776Contig1_03_330,SNP,0,1,1,0,scaffold894190.2,86937--86069,82,91.1,AP,99.91,1063,0,1912,CDD|178689,PLN03144; Carbon catabolite repressor protein 4; len=606,80.76,608,0,1181,AT3G58560.1,DNAse I-like superfamily protein,70.51,607,0,833,gb|DR057621.1
0_13219,0_13219,1,14.94,13.72,16.17,2.45,0_13219_01_470,SNP,0,1,0,0,scaffold441200.1,21479--20592,99.9,96.8,AP,100,773,0,1395,CDD|227355,COG5022; Myosin heavy chain; len=1463,19.61,153,1.00E-06,52.8,AT4G21820.1,Binding/calmodulin binding protein,30.71,1107,4.00E-131,444,gb|CO367899.1
0_18006,0_18006,1,15.66,15.23,16.1,0.87,0_18006_75,SNP,0,0,0,1,C32573082,412524--364871,99,99.6,AP,99.64,830,0,1481,CDD|219525,pfam07699; GCC2_GCC3; GCC2 and GCC3; len=48,48,25,4.00E-04,39.3,AT5G11700.1,Uncharacterized protein,62.65,771,0,869,gb|DR018708.1
CL130Contig1,CL130Contig1,1,15.83,14.68,16.97,2.29,CL130Contig1_04_113,SNP,0,0,1,0,tscaffold890,198314--202234,99.5,99.8,AP,99.72,2142,0,3837,CDD|215825,pfam00262; Calreticulin family; len=359,56.99,365,9.00E-163,470,AT5G61790.1,Calnexin 1,67.12,517,0,558,gb|CO163508.1
0_12428,0_12428,1,16.23,15.11,17.36,2.25,0_12428_01_243,SNP,0,1,0,0,tscaffold6765,191954--192459,88,99.8,AP,87.21,86,6.00E-21,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR081340.1
CL960Contig1,CL960Contig1,1,16.58,15.44,17.72,2.28,CL960Contig1_05_64,SNP,0,0,1,0,tscaffold2480,10092--12756,89.7,99.5,AP,98.19,1051,0,1819,NA,NA,NA,NA,NA,NA,AT3G48080.1,Alpha/beta-Hydrolases superfamily protein,39.86,143,2.00E-24,102,gb|DR094358.1
CL960Contig2,CL960Contig2,1,16.59,15.45,17.74,2.29,CL960Contig2_03_64,SNP,0,1,1,0,tscaffold2480,9971--10938,98.9,99.5,AP,99.38,975,0,1727,NA,NA,NA,NA,NA,NA,AT3G48080.1,Alpha/beta-Hydrolases superfamily protein,39.86,143,8.00E-25,102,gb|CO165255.1
CL1912Contig1,CL1912Contig1,1,16.66,15.54,17.78,2.24,CL1912Contig1_01_701,SNP,0,1,0,0,scaffold558776.2,27587--25772,95.8,99.6,AP,99.76,843,0,1514,CDD|216301,pfam01105; EMP24_GP25L; Emp24/gp25L/p24 family/GOLD; len=178,32.09,187,1.00E-27,104,AT3G22845.1,Emp24/gp25L/p24 family/GOLD family protein,38.05,205,1.00E-57,184,gb|CO161179.1
0_1033,0_1033,1,17.05,16.63,17.48,0.85,0_1033_555,SNP,0,0,0,1,scaffold890604.2,35639--36335,100,99.7,AP,100,697,0,1258,CDD|213243,cd03276; ABC_SMC6_euk; ATP-binding cassette domain of eukaryotic SM6 proteins; len=198,36.77,155,1.00E-44,161,AT5G61460.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,56.75,1045,1.00E-134,437,gb|CF666018.1
0_14614,0_14614,1,18.05,16.87,19.23,2.36,0_14614_01_530,SNP,0,1,1,1,scaffold54609.2,24785--23940,99.9,96.6,AP,97.83,828,0,1420,CDD|216081,pfam00722; Glyco_hydro_16; Glycosyl hydrolases family 16; len=174,41.4,157,7.00E-49,160,AT2G06850.1,Xyloglucan endotransglucosylase/hydrolase 4,33.15,184,9.00E-70,218,gb|CV035900.1
PtIFG_2086_13,PtIFG_2086,1,18.1,16.86,19.34,2.48,PtIFG_2086_13,RFLP,1,0,0,0,scaffold551260,10581--10376,85.9,93.2,AP,99.59,241,2.00E-117,426,CDD|216855,pfam02036; SCP2; SCP-2 sterol transfer family; len=100,33.66,101,1.00E-17,73.4,AT5G42890.1,Sterol carrier protein 2,65.57,122,3.00E-27,100,gb|H75047
PtIFG_1626_c,PtIFG_1626,1,18.78,17.58,19.99,2.41,PtIFG_1626_c,RFLP,1,0,0,0,scaffold707248,62178--61959,100,100,AP,99.55,220,7.00E-107,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|H75183
CL4371Contig1,CL4371Contig1,1,18.92,17.77,20.07,2.3,CL4371Contig1_02_244,SNP,0,1,1,0,scaffold184906,33707--32880,99.5,99.4,AP,99.88,825,0,1485,CDD|213402,cd12203; GT1; myb-like; SANT family; len=66,66.67,66,5.00E-30,113,AT5G03680.1,Duplicated homeodomain-like superfamily protein,33.11,604,1.00E-75,257,gb|CF664634.1
2_3502,2_3502,1,19.2,18.07,20.33,2.26,2_3502_02_310,SNP,0,1,0,0,tscaffold5047,90420--91808,98.7,99.7,AP,98.94,942,0,1658,CDD|214636,smart00360; RRM; RNA recognition motif; len=73,32.43,74,2.00E-13,62.6,AT3G61860.1,RNA-binding (RRM/RBD/RNP motifs) family protein,48.74,238,9.00E-51,169,gb|CV033061.1
0_3122,0_3122,1,19.23,18.09,20.36,2.27,0_3122_02_491,SNP,0,1,0,0,scaffold380197.1,50550--51232,88.2,94.8,AP,99.74,763,0,1368,CDD|153420,cd07920; Pumilio-family RNA binding domain; len=322,26.23,122,9.00E-13,68.8,AT3G16810.1,Pumilio 24,44.36,692,4.00E-130,402,gb|CO164579.1
2_9833,2_9833,1,23.23,22.58,23.89,1.31,2_9833_650,SNP,0,0,0,1,tscaffold3003,969164--968409,100,99.5,AP,99.6,756,0,1350,CDD|216688,pfam01764; Lipase_3; Lipase class 3; len=141,24.83,149,2.00E-15,74.3,AT3G48080.1,Alpha/beta-Hydrolases superfamily protein,28.26,644,9.00E-70,241,gb|DR070911.1
PtIFG_653_d,PtIFG_653,1,23.69,22.57,24.81,2.24,PtIFG_653_d,RFLP,1,0,0,0,tscaffold1064,357674--357895,99.1,95.6,AP,95.61,228,3.00E-90,334,CDD|214550,smart00194; PTPc; Tyrosine phosphatase; catalytic domain protein; len=259,39.9,198,4.00E-61,197,AT1G71860.3,Tyrosine phosphatase 1,54.19,227,3.00E-84,260,gb|H75097
0_9080,0_9080,1,23.72,23.06,24.38,1.32,0_9080_131,SNP,0,0,0,1,tscaffold7632,133028--145499,96.9,93.9,AP,99.25,803,0,1422,CDD|216202,pfam00931; NB-ARC domain protein; len=285,20.36,275,2.00E-17,82.4,AT1G61180.1,LRR and NB-ARC domains-containing disease resistance protein,18.47,379,1.00E-59,217,gb|CO167760.1
0_17590,0_17590,1,24.34,23.67,25,1.33,0_17590_666,SNP,0,0,0,1,scaffold532281,51767--53621,100,99.8,AP,99.28,828,0,1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR093287.1
0_10229,0_10229,1,25.39,24.73,26.06,1.33,0_10229_319,SNP,0,0,0,1,C32566682,102580--131222,100,100,AP,100,703,0,1269,CDD|173734,cd07830; STKc_MAK_like; Catalytic domain of Male germ cell-Associated Kinase-like; len=283,67.14,283,0,545,AT4G19110.2,Kinase superfamily protein,56.75,437,9.00E-146,428,gb|DR050572.1
UMN_1030,UMN_1030,1,28.24,27.46,29.02,1.56,UMN_1030_398,SNP,0,0,0,1,C32566682,148790--138304,100,100,AP,100,446,0,805,CDD|173734,cd07830; STKc_MAK_like; Catalytic domain of Male germ cell-Associated Kinase-like; len=283,67.14,283,0,545,AT4G19110.1,Kinase superfamily protein,56.44,427,9.00E-142,418,gb|AW985168.1
0_9409,0_9409,1,28.92,28.14,29.7,1.56,0_9409_331,SNP,0,0,0,1,scaffold558776.1,74222--73550,99.6,89.9,AP,95.29,170,3.00E-70,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR014042.1
PtSIFG_0463,PtSIFG_0463,1,29.43,28.54,30.32,1.78,PtSIFG_0463,estSSR,1,0,0,0,scaffold184906,33668--32972,100,99.3,AP,100,694,0,1252,CDD|213402,cd12203; GT1; myb-like; SANT family; len=66,66.67,66,5.00E-30,113,AT5G03680.1,Duplicated homeodomain-like superfamily protein,33.11,604,1.00E-75,257,gb|BV728660
2_6220,2_6220,1,30.07,29.28,30.86,1.58,2_6220_491,SNP,0,0,0,1,scaffold28893,33308--34474,100,92.7,AP,99.9,1023,0,1842,CDD|215138,PLN02248; Cellulose synthase-like protein; len=1135,46.81,1019,0,1138,AT5G05170.1,Cellulose synthase family protein,74.47,1081,0,1156,gb|DR017425.1
2_1961,2_1961,1,30.62,29.83,31.4,1.57,2_1961_265,SNP,0,0,0,1,tscaffold3078,25330--22445,100,99.4,AP,99.07,965,0,1707,CDD|238383,cd00751; thiolase; Thiolase are ubiquitous enzymes that catalyze the reversible; len=386,52.78,396,0,522,AT2G33150.1,Peroxisomal 3-ketoacyl-CoA thiolase 3,80.74,462,0,581,gb|DR165437.1
0_13607,0_13607,1,31.63,30.86,32.39,1.53,0_13607_255,SNP,0,0,0,1,tscaffold4238,351018--350335,99.6,98.4,AP,99.2,501,0,886,NA,NA,NA,NA,NA,NA,AT4G14950.1,SNARE associated Golgi family protein,62.56,203,4.00E-84,259,gb|DR119598.1
UMN_3925,UMN_3925,1,32.15,31.38,32.92,1.54,UMN_3925_250,SNP,0,0,0,1,tscaffold227,19824--19365,100,99.8,AP,100,460,0,830,CDD|215181,PLN02317; Arogenate dehydratase; len=382,72.22,378,0,651,AT1G11790.1,Arogenate dehydratase 1,53.33,375,1.00E-169,486,gb|BE657146.1
UMN_1440,UMN_1440,1,32.43,31.66,33.21,1.55,UMN_1440_271,SNP,0,0,0,1,scaffold900889,54286--53841,100,99.1,AP,99.33,446,0,791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BE241305.1
0_17343,0_17343,1,32.72,31.95,33.5,1.55,0_17343_02_417,SNP,0,1,0,1,scaffold903312,51205--50344,98.7,99.5,AP,98.62,870,0,1505,CDD|222492,pfam14009; DUF4228; Domain of unknown function; len=181,29.8,198,1.00E-32,117,AT2G30230.1,Uncharacterized protein,17.17,198,8.00E-34,122,gb|DR100638.1
2_6100,2_6100,1,33.34,32.57,34.12,1.55,2_6100_02_106,SNP,0,1,1,0,tscaffold3280,2165--1131,98.1,98.4,AP,99.76,838,0,1503,CDD|218633,pfam05553; DUF761; Cotton fiber expressed protein; len=38,62.16,37,2.00E-12,59.5,AT1G52140.1,Uncharacterized protein,29.44,214,1.00E-15,73.5,gb|CO200847.1
2_6409,2_6409,1,33.75,32.98,34.53,1.55,2_6409_01_60,SNP,0,1,0,1,tscaffold2062,975829--975094,100,98.9,AP,99.18,736,0,1301,CDD|173624,cd00192; PTKc; Catalytic domain of Protein Tyrosine Kinases; len=262,28.68,272,2.00E-41,150,AT1G52310.1,Kinase family protein / C-type lectin domain-containing protein,60.51,509,2.00E-125,383,gb|CO172072.1
PtIFG_1916_3,PtIFG_1916,1,34.98,34.21,35.76,1.55,rflpPita_IFG_1916_3,RFLP,0,1,0,0,scaffold54700.2,25993--25640,85.1,98.7,AP,94.66,281,2.00E-116,426,NA,NA,NA,NA,NA,NA,AT3G14200.1,Chaperone DnaJ-domain superfamily protein,35.96,114,2.00E-07,47.8,gb|H75030
0_18199,0_18199,1,35.18,34.41,35.96,1.55,0_18199_298,SNP,0,0,0,1,tscaffold4202,59837--59046,100,98.7,AP,97.85,792,0,1355,CDD|222492,pfam14009; DUF4228; Domain of unknown function; len=181,31.73,208,1.00E-34,123,AT2G30230.1,Uncharacterized protein,21.23,212,9.00E-39,135,gb|DR020327.1
UMN_519,UMN_519,1,35.62,34.85,36.39,1.54,UMN_519_289,SNP,0,0,0,1,scaffold754498,20929--80407,100,98.7,AP,100,616,0,1112,CDD|219448,pfam07522; DRMBL; DNA repair metallo-beta-lactamase; len=107,56.48,108,3.00E-41,144,AT3G26680.3,DNA repair metallo-beta-lactamase family protein,55,440,2.00E-87,281,gb|DT632325.1
UMN_1835,UMN_1835,1,37.14,36.36,37.91,1.55,UMN_1835_154,SNP,0,0,0,1,tscaffold5552,433121--433546,95.3,100,AP,100,426,0,769,NA,NA,NA,NA,NA,NA,AT3G26670.3,Uncharacterized protein,51.96,204,1.00E-66,214,gb|BM158078.1
0_5239,0_5239,1,37.28,36.51,38.05,1.54,0_5239_02_321,SNP,0,1,1,1,tscaffold4594,626879--624416,67.7,80.9,AP,99.19,370,0,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR109958.1
0_1881,0_1881,1,37.55,36.78,38.32,1.54,0_1881_146,SNP,0,0,0,1,C31631076,7345--7635,100,95.7,AP,84.05,257,6.00E-71,273,CDD|176016,cd04051; C2_SRC2_like; C2 domain present in Soybean genes Regulated by Cold 2; len=125,45.24,126,2.00E-44,149,AT1G09070.1,Soybean gene regulated by cold-2,28.62,269,2.00E-32,124,gb|CO174285.1
0_14531,0_14531,1,37.55,36.77,38.32,1.55,0_14531_221,SNP,0,0,0,1,tscaffold2292,15200--203078,99.2,93.6,AP,100,879,0,1586,NA,NA,NA,NA,NA,NA,AT2G41945.1,Uncharacterized protein,52.05,146,5.00E-44,146,gb|CV033538.1
2_5809,2_5809,1,38.21,37.43,38.98,1.55,2_5809_235,SNP,0,0,0,1,scaffold494201.2,6673--6204,51.1,93.8,AP,99.78,923,0,1653,CDD|218853,pfam06011; TRP; Transient receptor potential  ion channel; len=531,22.97,74,0.007,35.7,NA,NA,NA,NA,NA,NA,gb|CX651962.1
